,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,state
142,142,32.85586612,49:07.2,49:58.0,0 days 00:00:50.777045,0.34,0.05,0.16,0.05,0.47,0.32,0.04,0.56,0.42,0.43,0.06,0.18,COMPLETE
143,143,29.8391053,49:58.0,50:47.2,0 days 00:00:49.211426,0.39,0.02,0.11,0.11,0.4,0.22,0.02,0.59,0.31,0.44,0.01,0.14,COMPLETE
144,144,30.29423306,50:47.2,51:35.2,0 days 00:00:48.052442,0.39,0.03,0.1,0.11,0.4,0.21,0.06,0.6,0.31,0.45,0.01,0.16,COMPLETE
145,145,29.76335232,51:35.2,52:39.2,0 days 00:01:03.942195,0.38,0.03,0.1,0.11,0.41,0.22,0.02,0.51,0.32,0.47,0.01,0.12,COMPLETE
146,146,30.66459489,52:39.2,53:26.6,0 days 00:00:47.465614,0.45,0.05,0.1,0.11,0.4,0.26,0.02,0.49,0.31,0.46,0,0.11,COMPLETE
147,147,31.15306066,53:26.6,53:55.6,0 days 00:00:29.001031,0.45,0.05,0.1,0.17,0.41,0.23,0.06,0.47,0.3,0.46,0,0.11,COMPLETE
148,148,30.73583156,53:55.6,54:24.4,0 days 00:00:28.715604,0.46,0.05,0.1,0.11,0.4,0.26,0.1,0.47,0.3,0.46,0,0.1,COMPLETE
149,149,30.81174083,54:24.4,55:25.6,0 days 00:01:01.248878,0.45,0.06,0.1,0.11,0.4,0.22,0.1,0.47,0.3,0.46,0,0.12,COMPLETE
150,150,30.54834771,11:08.4,11:42.9,0 days 00:00:34.574863,0.43,0.05,0.1,0.11,0.4,0.26,0.09,0.47,0.31,0.46,0,0.12,COMPLETE
151,151,31.21349658,11:42.9,12:29.5,0 days 00:00:46.565297,0.44,0.05,0.1,0.16,0.4,0.26,0.1,0.45,0.3,0.46,0.01,0.11,COMPLETE
152,152,31.15605041,12:29.5,13:17.1,0 days 00:00:47.624201,0.46,0.05,0.1,0.16,0.41,0.22,0.11,0.47,0.3,0.45,0,0.11,COMPLETE
153,153,30.45053115,13:17.1,14:57.7,0 days 00:01:40.597808,0.46,0.05,0.1,0.17,0.4,0.26,0.1,0.46,0.3,0.39,0,0.11,COMPLETE
154,154,30.57789588,14:57.7,16:03.7,0 days 00:01:06.010941,0.45,0.05,0.06,0.17,0.4,0.26,0.11,0.46,0.3,0.45,0,0.11,COMPLETE
155,155,31.16224175,16:03.7,17:04.3,0 days 00:01:00.528026,0.46,0.06,0.06,0.16,0.41,0.26,0.17,0.47,0.3,0.46,0,0.11,COMPLETE
156,156,29.13372663,17:04.3,17:36.4,0 days 00:00:32.100058,0.47,0.06,0.06,0.21,0.42,0.22,0.18,0.46,0.22,0.37,0,0.08,COMPLETE
157,157,30.94230382,17:36.4,18:10.2,0 days 00:00:33.823779,0.49,0.05,0.06,0.22,0.51,0.23,0.19,0.51,0.23,0.35,0.04,0.08,COMPLETE
158,158,31.21267585,18:10.2,19:13.1,0 days 00:01:02.941640,0.51,0.08,0.06,0.25,0.52,0.23,0.17,0.52,0.22,0.32,0.04,0.06,COMPLETE
159,159,29.88417852,19:13.1,20:09.5,0 days 00:00:56.351054,0.39,0.06,0.07,0.22,0.44,0.19,0.21,0.43,0.32,0.38,0.04,0.08,COMPLETE
160,160,30.05899779,20:09.5,20:56.7,0 days 00:00:47.204684,0.41,0.09,0.07,0.21,0.44,0.2,0.18,0.41,0.33,0.4,0.04,0.03,COMPLETE
161,161,30.90967473,20:56.7,22:12.1,0 days 00:01:15.438818,0.41,0.09,0.07,0.23,0.45,0.2,0.23,0.41,0.33,0.38,0.04,0.08,COMPLETE
162,162,29.90757017,22:12.1,23:01.1,0 days 00:00:49.001146,0.41,0.09,0.07,0.21,0.44,0.25,0.22,0.41,0.33,0.38,0.04,0.02,COMPLETE
163,163,30.37515525,23:01.1,23:49.6,0 days 00:00:48.413934,0.41,0.09,0.09,0.21,0.44,0.2,0.23,0.4,0.32,0.39,0.05,0.02,COMPLETE
164,164,30.83339887,23:49.6,25:02.4,0 days 00:01:12.843651,0.39,0.07,0.08,0.2,0.49,0.36,0.27,0.36,0.32,0.41,0.05,0.02,COMPLETE
165,165,30.56435898,25:02.4,25:54.4,0 days 00:00:52.018738,0.4,0.1,0.08,0.2,0.44,0.19,0.25,0.37,0.32,0.39,0.07,0.03,COMPLETE
166,166,29.90846551,25:54.4,26:53.6,0 days 00:00:59.182863,0.39,0.1,0.08,0.2,0.44,0.19,0.29,0.38,0.32,0.4,0.04,0.03,COMPLETE
167,167,29.40293003,26:53.6,27:41.6,0 days 00:00:47.964130,0.42,0.1,0.05,0.28,0.44,0.19,0.25,0.43,0.34,0.37,0,0.02,COMPLETE
168,168,30.9720953,27:41.6,29:03.0,0 days 00:01:21.451187,0.42,0.1,0.05,0.28,0.44,0.19,0.21,0.39,0.35,0.38,0.07,0.01,COMPLETE
169,169,30.30038667,29:03.0,30:03.1,0 days 00:01:00.100377,0.39,0.13,0.05,0.25,0.43,0.25,0.25,0.42,0.32,0.35,0.04,0.05,COMPLETE
170,170,29.90329876,30:03.1,30:55.6,0 days 00:00:52.483836,0.39,0.13,0.05,0.21,0.43,0.29,0.24,0.44,0.33,0.34,0.04,0.05,COMPLETE
171,171,30.11682935,30:55.6,32:02.1,0 days 00:01:06.449796,0.39,0.14,0.05,0.21,0.43,0.29,0.28,0.42,0.33,0.35,0.04,0.04,COMPLETE
172,172,30.36316546,32:02.1,33:31.8,0 days 00:01:29.720892,0.39,0.13,0.05,0.25,0.43,0.29,0.28,0.43,0.33,0.34,0.04,0.04,COMPLETE
173,173,30.38920238,33:31.8,34:50.1,0 days 00:01:18.315186,0.38,0.13,0.04,0.25,0.44,0.29,0.32,0.43,0.34,0.35,0.04,0.04,COMPLETE
174,174,32.05866063,34:50.1,35:56.6,0 days 00:01:06.510143,0.39,0.14,0.04,0.25,0.49,0.29,0.28,0.43,0.34,0.35,0.09,0.05,COMPLETE
175,175,30.30656837,35:56.6,37:07.4,0 days 00:01:10.799326,0.38,0.17,0.04,0.32,0.43,0.29,0.31,0.33,0.28,0.32,0.03,0.04,COMPLETE
176,176,29.25000015,37:07.4,39:03.4,0 days 00:01:56.021944,0.38,0.17,0.02,0.31,0.43,0.29,0.3,0.34,0.26,0.32,0.05,0,COMPLETE
177,177,28.22836164,39:03.4,40:49.0,0 days 00:01:45.538551,0.32,0.17,0.02,0.35,0.43,0.3,0.32,0.33,0.27,0.32,0.04,0,COMPLETE
178,178,29.2050258,40:49.0,42:28.0,0 days 00:01:39.006403,0.38,0.18,0.03,0.32,0.43,0.3,0.32,0.32,0.28,0.25,0.04,0.04,COMPLETE
179,179,30.05152506,42:28.0,44:16.3,0 days 00:01:48.292870,0.42,0.17,0.01,0.33,0.46,0.3,0.3,0.33,0.26,0.24,0.08,0.01,COMPLETE
180,180,30.78574514,44:16.3,45:25.0,0 days 00:01:08.733025,0.38,0.21,0.02,0.32,0.47,0.34,0.3,0.33,0.25,0.27,0.09,0,COMPLETE
181,181,31.02020178,45:25.0,46:19.0,0 days 00:00:54.017294,0.42,0.18,0.01,0.34,0.43,0.3,0.24,0.28,0.27,0.32,0.04,0.06,COMPLETE
182,182,26.17339814,46:19.0,47:32.5,0 days 00:01:13.417694,0.32,0.16,0.02,0.3,0.45,0.37,0.29,0.33,0.17,0.22,0.05,0.02,COMPLETE
183,183,28.70468347,47:32.5,48:26.3,0 days 00:00:53.827271,0.32,0.17,0,0.42,0.46,0.42,0.31,0.33,0.19,0.24,0.08,0,COMPLETE
184,184,31.32438235,48:26.3,49:49.9,0 days 00:01:23.590473,0.42,0.17,0.01,0.43,0.54,0.35,0.34,0.33,0.21,0.23,0.08,0,COMPLETE
185,185,28.97253941,49:49.9,51:32.8,0 days 00:01:42.881847,0.32,0.2,0,0.29,0.48,0.43,0.31,0.31,0.25,0.26,0.07,0.03,COMPLETE
186,186,27.2875526,51:32.8,52:23.3,0 days 00:00:50.512492,0.32,0.15,0,0.29,0.48,0.47,0.26,0.29,0.18,0.23,0.08,0.02,COMPLETE
187,187,28.87456054,52:23.3,53:20.7,0 days 00:00:57.375897,0.32,0.2,0,0.38,0.48,0.44,0.29,0.31,0.16,0.25,0.08,0,COMPLETE
188,188,28.00554619,53:20.7,54:29.4,0 days 00:01:08.775518,0.32,0.19,0.01,0.29,0.48,0.42,0.29,0.31,0.17,0.25,0.08,0.02,COMPLETE
189,189,28.86384974,54:29.4,55:48.7,0 days 00:01:19.229344,0.32,0.21,0,0.37,0.49,0.42,0.32,0.28,0.15,0.24,0.09,0,COMPLETE
190,190,29.56095423,55:48.7,56:26.0,0 days 00:00:37.332862,0.31,0.2,0,0.37,0.49,0.4,0.35,0.3,0.19,0.25,0.1,0.01,COMPLETE
191,191,29.77002834,56:26.0,57:50.1,0 days 00:01:24.111371,0.32,0.22,0,0.38,0.49,0.41,0.35,0.29,0.17,0.24,0.1,0,COMPLETE
192,192,28.26505892,57:50.1,58:44.8,0 days 00:00:54.679995,0.31,0.21,0,0.39,0.49,0.42,0.36,0.3,0.17,0.18,0.1,0,COMPLETE
193,193,29.72943669,58:44.8,59:25.5,0 days 00:00:40.738306,0.31,0.2,0,0.4,0.58,0.41,0.36,0.24,0.16,0.21,0.11,0,COMPLETE
194,194,29.23870234,59:25.5,00:39.6,0 days 00:01:14.067085,0.32,0.21,0,0.4,0.59,0.42,0.36,0.24,0.18,0.15,0.11,0,COMPLETE
195,195,28.55122811,00:39.6,01:21.6,0 days 00:00:42.017600,0.31,0.22,0,0.39,0.56,0.42,0.33,0.25,0.17,0.15,0.11,0,COMPLETE
196,196,28.29547318,01:21.6,03:03.6,0 days 00:01:41.955164,0.31,0.22,0,0.39,0.55,0.41,0.35,0.21,0.18,0.14,0.11,0,COMPLETE
197,197,28.16079246,03:03.6,03:51.7,0 days 00:00:48.130061,0.3,0.21,0,0.39,0.6,0.42,0.35,0.23,0.17,0.13,0.11,0,COMPLETE
198,198,29.10749926,03:51.7,04:53.1,0 days 00:01:01.352183,0.31,0.2,0,0.41,0.61,0.44,0.41,0.23,0.14,0.12,0.13,0,COMPLETE
199,199,30.11320954,04:53.1,05:51.5,0 days 00:00:58.472397,0.31,0.26,0,0.41,0.6,0.44,0.41,0.25,0.14,0.13,0.12,0,COMPLETE
200,200,28.52681504,11:37.2,12:29.6,0 days 00:00:52.461495,0.31,0.2,0,0.39,0.58,0.4,0.36,0.2,0.19,0.16,0.11,0,COMPLETE
201,201,28.48106705,12:29.6,13:13.1,0 days 00:00:43.515953,0.31,0.2,0,0.38,0.58,0.41,0.33,0.18,0.19,0.15,0.12,0,COMPLETE
202,202,30.82458534,13:13.1,14:15.8,0 days 00:01:02.701391,0.28,0.23,0.02,0.44,0.64,0.44,0.33,0.14,0.19,0.16,0.13,0.02,COMPLETE
203,203,27.75880805,14:15.8,15:17.9,0 days 00:01:02.071569,0.32,0.2,0,0.37,0.56,0.38,0.33,0.2,0.13,0.17,0.1,0,COMPLETE
204,204,28.53095774,15:17.9,16:10.6,0 days 00:00:52.642257,0.32,0.29,0.02,0.35,0.55,0.38,0.38,0.19,0.11,0.07,0.12,0,COMPLETE
205,205,30.22788414,16:10.6,16:45.1,0 days 00:00:34.514518,0.32,0.29,0.02,0.49,0.56,0.38,0.32,0.2,0.1,0.06,0.12,0,COMPLETE
206,206,29.23363299,16:45.1,17:35.5,0 days 00:00:50.442604,0.29,0.24,0.02,0.35,0.61,0.46,0.38,0.2,0.13,0.12,0.09,0.07,COMPLETE
207,207,29.95000663,17:35.5,18:39.2,0 days 00:01:03.727364,0.29,0.32,0,0.35,0.6,0.46,0.39,0.19,0.12,0.11,0.09,0.07,COMPLETE
208,208,30.27026624,18:39.3,19:27.3,0 days 00:00:48.063050,0.28,0.24,0.02,0.39,0.56,0.49,0.37,0.21,0.07,0.17,0.13,0.03,COMPLETE
209,209,28.55668806,19:27.3,20:32.1,0 days 00:01:04.758836,0.27,0.22,0,0.43,0.53,0.43,0.41,0.17,0.15,0.13,0.1,0.06,COMPLETE
210,210,27.95937825,20:32.1,21:14.9,0 days 00:00:42.852116,0.27,0.25,0.03,0.36,0.53,0.46,0.44,0.17,0.14,0.09,0.08,0.06,COMPLETE
211,211,28.42800214,21:14.9,22:01.2,0 days 00:00:46.265023,0.27,0.26,0.03,0.43,0.54,0.38,0.43,0.18,0.14,0.08,0.08,0.06,COMPLETE
212,212,28.65997494,22:01.2,22:36.9,0 days 00:00:35.675080,0.26,0.27,0.03,0.45,0.53,0.38,0.47,0.17,0.15,0.08,0.08,0.06,COMPLETE
213,213,26.98437265,22:36.9,23:16.8,0 days 00:00:39.952771,0.26,0.27,0,0.44,0.53,0.37,0.45,0.17,0.15,0.09,0.07,0.02,COMPLETE
214,214,27.18195809,23:16.8,23:53.3,0 days 00:00:36.453964,0.26,0.27,0,0.43,0.53,0.38,0.46,0.17,0.15,0.09,0.08,0.02,COMPLETE
215,215,28.51936525,23:53.3,24:34.8,0 days 00:00:41.524999,0.26,0.27,0.03,0.44,0.54,0.37,0.47,0.16,0.16,0.07,0.08,0.06,COMPLETE
216,216,28.8576795,24:34.8,25:12.7,0 days 00:00:37.929469,0.26,0.3,0.03,0.45,0.53,0.38,0.45,0.16,0.15,0.08,0.08,0.05,COMPLETE
217,217,29.6903053,25:12.7,25:51.9,0 days 00:00:39.126504,0.26,0.3,0.03,0.47,0.53,0.37,0.45,0.17,0.15,0.08,0.1,0.05,COMPLETE
218,218,29.43419415,25:51.9,26:52.5,0 days 00:01:00.653252,0.27,0.27,0.03,0.44,0.55,0.39,0.49,0.16,0.11,0.04,0.11,0.06,COMPLETE
219,219,29.62424003,26:52.5,27:36.0,0 days 00:00:43.513452,0.25,0.32,0.02,0.46,0.51,0.38,0.46,0.12,0.09,0.19,0.08,0.02,COMPLETE
220,220,29.17333891,27:36.0,28:22.9,0 days 00:00:46.814563,0.27,0.28,0.03,0.43,0.57,0.4,0.45,0.13,0.18,0.09,0.07,0.06,COMPLETE
221,221,26.65874053,28:22.9,29:12.4,0 days 00:00:49.514815,0.23,0.26,0,0.37,0.54,0.47,0.43,0.18,0.16,0.03,0.09,0.02,COMPLETE
222,222,27.2686528,29:12.4,29:57.4,0 days 00:00:45.033901,0.23,0.26,0.02,0.42,0.53,0.47,0.42,0.17,0.16,0.03,0.09,0.02,COMPLETE
223,223,27.82396593,29:57.4,30:40.7,0 days 00:00:43.300013,0.23,0.25,0.02,0.42,0.53,0.47,0.43,0.18,0.2,0,0.11,0.02,COMPLETE
224,224,28.48751951,30:40.7,31:25.5,0 days 00:00:44.810452,0.22,0.26,0.02,0.42,0.54,0.47,0.43,0.18,0.2,0.01,0.13,0.03,COMPLETE
225,225,28.57129142,44:36.1,45:24.7,0 days 00:00:48.601021,0.23,0.26,0.02,0.39,0.54,0.53,0.43,0.18,0.17,0.02,0.13,0.03,COMPLETE
226,226,28.16411356,45:24.7,46:26.0,0 days 00:01:01.238507,0.23,0.26,0.02,0.39,0.54,0.46,0.43,0.18,0.17,0.01,0.13,0.03,COMPLETE
227,227,27.36065634,46:26.0,47:12.3,0 days 00:00:46.369065,0.22,0.24,0.02,0.42,0.57,0.46,0.42,0.11,0.12,0,0.11,0.02,COMPLETE
228,228,28.24227206,47:12.4,47:44.1,0 days 00:00:31.766778,0.22,0.25,0.04,0.36,0.57,0.48,0.43,0.11,0.2,0,0.14,0.02,COMPLETE
229,229,28.76031463,47:44.1,48:56.3,0 days 00:01:12.206377,0.23,0.25,0.04,0.36,0.58,0.48,0.44,0.1,0.21,0,0.14,0.03,COMPLETE
230,230,35.87139101,48:56.3,49:59.8,0 days 00:01:03.439542,0.22,0.25,0.93,0.41,0.51,0.47,0.43,0.06,0.12,0.04,0.12,0.02,COMPLETE
231,231,27.66605195,49:59.8,50:55.8,0 days 00:00:56.030031,0.23,0.23,0.02,0.39,0.56,0.51,0.42,0.21,0.2,0.01,0.11,0.02,COMPLETE
232,232,35.80394051,50:55.8,51:49.6,0 days 00:00:53.777483,0.22,0.28,0.02,0.5,0.56,0.51,0.43,0.2,0.19,0,0.95,0.02,COMPLETE
233,233,30.31138254,51:49.6,52:40.4,0 days 00:00:50.868058,0.21,0.36,0.04,0.36,0.55,0.5,0.48,0.22,0.2,0.03,0.14,0.03,COMPLETE
234,234,27.8014901,52:40.4,53:21.8,0 days 00:00:41.352514,0.24,0.24,0.02,0.34,0.64,0.53,0.5,0.1,0.12,0.05,0.11,0.02,COMPLETE
235,235,28.8397123,53:21.8,53:59.4,0 days 00:00:37.554623,0.25,0.24,0.04,0.38,0.68,0.48,0.5,0.12,0.13,0.02,0.1,0.04,COMPLETE
236,236,28.73069991,53:59.4,54:54.2,0 days 00:00:54.860405,0.24,0.26,0.02,0.41,0.64,0.46,0.54,0.1,0.17,0.05,0.11,0.02,COMPLETE
237,237,28.85167005,54:54.2,55:37.2,0 days 00:00:42.937764,0.24,0.23,0.02,0.34,0.58,0.57,0.42,0.15,0.21,0.01,0.14,0.04,COMPLETE
238,238,25.87539949,55:37.2,56:41.6,0 days 00:01:04.396585,0.21,0.23,0.04,0.3,0.52,0.54,0.47,0.15,0.13,0.1,0.07,0.02,COMPLETE
239,239,26.58123863,56:41.6,57:29.8,0 days 00:00:48.274438,0.2,0.25,0.04,0.3,0.52,0.53,0.47,0.11,0.09,0.1,0.07,0.08,COMPLETE
240,240,26.49881215,57:29.8,58:43.8,0 days 00:01:14.004989,0.21,0.23,0.04,0.31,0.51,0.53,0.52,0.11,0.08,0.1,0.06,0.08,COMPLETE
241,241,25.70417385,58:43.8,59:48.6,0 days 00:01:04.756119,0.2,0.23,0.04,0.3,0.51,0.52,0.5,0.1,0.08,0.05,0.06,0.02,COMPLETE
242,242,26.86325725,59:48.6,01:08.5,0 days 00:01:19.888571,0.21,0.23,0.05,0.33,0.51,0.53,0.56,0.09,0.07,0.1,0.06,0.08,COMPLETE
243,243,26.50027932,01:08.5,02:04.7,0 days 00:00:56.257277,0.19,0.23,0.05,0.3,0.52,0.54,0.52,0.01,0.07,0.1,0.07,0.08,COMPLETE
244,244,26.91206963,02:04.7,02:45.0,0 days 00:00:40.276472,0.2,0.23,0.05,0.32,0.51,0.54,0.56,0.08,0.05,0.1,0.06,0.09,COMPLETE
245,245,27.03270871,02:45.0,03:28.4,0 days 00:00:43.365002,0.2,0.24,0.05,0.3,0.5,0.54,0.57,0.03,0.04,0.1,0.07,0.09,COMPLETE
246,246,26.66185414,03:28.4,04:04.4,0 days 00:00:35.991054,0.19,0.24,0.05,0.29,0.51,0.54,0.52,0.01,0.02,0.1,0.06,0.07,COMPLETE
247,247,27.26354564,04:04.4,04:50.6,0 days 00:00:46.266611,0.2,0.23,0.06,0.29,0.51,0.54,0.57,0,0.03,0.1,0.08,0.09,COMPLETE
248,248,26.87370232,04:50.7,05:25.7,0 days 00:00:35.018477,0.19,0.23,0.06,0.3,0.52,0.55,0.56,0.01,0.03,0.11,0.06,0.08,COMPLETE
249,249,27.15161183,05:25.7,06:03.9,0 days 00:00:38.244396,0.2,0.23,0.06,0.3,0.52,0.54,0.57,0,0.03,0.05,0.06,0.09,COMPLETE
250,250,27.01883012,07:29.3,08:33.1,0 days 00:01:03.893837,0.2,0.23,0.06,0.3,0.51,0.54,0.58,0,0.03,0.1,0.06,0.09,COMPLETE
251,251,27.22893513,08:33.1,09:59.8,0 days 00:01:26.621460,0.2,0.23,0.06,0.31,0.52,0.54,0.58,0.01,0.04,0.1,0.06,0.1,COMPLETE
252,252,27.041194,09:59.8,11:08.6,0 days 00:01:08.821608,0.2,0.23,0.06,0.31,0.51,0.56,0.57,0,0.03,0.1,0.06,0.08,COMPLETE
253,253,27.16280737,11:08.6,12:22.1,0 days 00:01:13.526435,0.19,0.24,0.06,0.3,0.52,0.55,0.58,0,0.03,0.05,0.06,0.09,COMPLETE
254,254,27.38357296,12:22.1,13:15.4,0 days 00:00:53.309448,0.2,0.23,0.06,0.31,0.51,0.55,0.58,0,0.03,0.11,0.07,0.09,COMPLETE
255,255,27.09292907,13:15.4,13:53.0,0 days 00:00:37.586048,0.2,0.23,0.06,0.31,0.52,0.56,0.57,0,0.03,0.1,0.06,0.08,COMPLETE
256,256,27.11338086,13:53.0,14:43.0,0 days 00:00:50.022591,0.2,0.23,0.06,0.3,0.51,0.56,0.58,0,0.03,0.1,0.06,0.09,COMPLETE
257,257,27.71213827,14:43.0,15:36.1,0 days 00:00:53.063504,0.19,0.28,0.07,0.3,0.51,0.58,0.61,0,0.04,0.1,0.06,0.09,COMPLETE
258,258,26.93106182,15:36.1,16:25.1,0 days 00:00:48.950730,0.17,0.23,0.06,0.28,0.51,0.56,0.57,0.03,0,0.1,0.06,0.09,COMPLETE
259,259,26.95996374,16:25.1,17:12.4,0 days 00:00:47.307360,0.16,0.23,0.06,0.27,0.51,0.61,0.56,0.03,0,0.1,0.06,0.09,COMPLETE
260,260,27.03161524,17:12.4,18:43.2,0 days 00:01:30.870108,0.16,0.23,0.07,0.27,0.51,0.61,0.55,0.03,0,0.1,0.06,0.09,COMPLETE
261,261,26.90810465,18:43.2,20:34.9,0 days 00:01:51.701703,0.16,0.23,0.07,0.28,0.51,0.56,0.56,0.03,0,0.1,0.06,0.09,COMPLETE
262,262,27.03161524,20:34.9,20:42.0,0 days 00:00:07.028718,0.16,0.23,0.07,0.27,0.51,0.61,0.55,0.03,0,0.1,0.06,0.09,COMPLETE
263,263,27.1331598,20:42.0,21:45.0,0 days 00:01:03.061659,0.15,0.22,0.07,0.27,0.51,0.62,0.52,0.03,0,0.11,0.05,0.13,COMPLETE
264,264,27.38187346,21:45.0,22:49.4,0 days 00:01:04.312531,0.16,0.22,0.07,0.27,0.5,0.62,0.55,0.03,0,0.11,0.06,0.13,COMPLETE
265,265,26.86430403,22:49.4,23:35.1,0 days 00:00:45.739739,0.17,0.22,0.08,0.27,0.5,0.57,0.52,0.03,0.01,0.06,0.06,0.09,COMPLETE
266,266,26.50983758,23:35.1,24:13.8,0 days 00:00:38.716362,0.17,0.23,0.08,0.27,0.5,0.6,0.52,0.04,0.06,0.06,0.06,0.08,COMPLETE
267,267,26.8102673,24:13.8,25:06.5,0 days 00:00:52.728875,0.16,0.22,0.08,0.27,0.5,0.6,0.53,0.04,0.06,0.07,0.06,0.13,COMPLETE
268,268,26.59260119,25:06.5,26:07.8,0 days 00:01:01.297908,0.17,0.22,0.09,0.27,0.5,0.59,0.55,0.07,0.06,0.07,0.06,0.09,COMPLETE
269,269,28.90938303,26:07.8,27:00.3,0 days 00:00:52.436453,0.17,0.42,0.08,0.27,0.5,0.59,0.55,0.07,0.06,0.07,0.06,0.09,COMPLETE
270,270,26.29434539,27:00.3,27:47.0,0 days 00:00:46.682042,0.17,0.21,0.08,0.27,0.49,0.66,0.53,0.04,0.08,0.07,0.05,0.08,COMPLETE
271,271,25.76796262,27:47.0,28:34.0,0 days 00:00:47.050052,0.17,0.19,0.08,0.25,0.47,0.65,0.53,0.04,0.08,0.07,0.03,0.08,COMPLETE
272,272,26.52529792,28:34.0,29:13.0,0 days 00:00:39.032118,0.17,0.19,0.08,0.26,0.47,0.67,0.54,0.04,0.08,0.06,0.03,0.14,COMPLETE
273,273,26.75307664,29:13.1,30:02.0,0 days 00:00:48.977911,0.16,0.19,0.09,0.27,0.47,0.67,0.52,0.04,0.08,0.06,0.03,0.16,COMPLETE
274,274,26.66479071,30:02.0,30:50.2,0 days 00:00:48.194064,0.17,0.19,0.09,0.24,0.47,0.67,0.52,0.05,0.08,0.06,0.03,0.16,COMPLETE
275,275,26.86997712,32:35.2,33:56.4,0 days 00:01:21.240342,0.17,0.19,0.09,0.25,0.47,0.7,0.53,0.08,0.08,0.06,0.03,0.16,COMPLETE
276,276,26.82880776,33:56.4,34:28.8,0 days 00:00:32.341665,0.17,0.19,0.09,0.25,0.47,0.68,0.52,0.05,0.07,0.06,0.03,0.16,COMPLETE
277,277,26.6252003,34:28.8,35:15.4,0 days 00:00:46.578039,0.17,0.19,0.09,0.24,0.47,0.63,0.52,0.08,0.06,0.07,0.03,0.16,COMPLETE
278,278,26.36686083,35:15.4,36:14.8,0 days 00:00:59.465729,0.14,0.19,0.08,0.23,0.47,0.71,0.53,0.08,0.08,0.06,0.03,0.16,COMPLETE
279,279,26.36488654,36:14.8,36:48.9,0 days 00:00:34.093607,0.13,0.19,0.09,0.24,0.47,0.69,0.52,0.08,0.08,0.07,0.03,0.17,COMPLETE
280,280,26.34521986,36:48.9,37:40.9,0 days 00:00:52.008492,0.13,0.18,0.09,0.24,0.47,0.68,0.52,0.06,0.08,0.06,0.02,0.18,COMPLETE
281,281,26.33241587,37:40.9,38:30.5,0 days 00:00:49.571999,0.13,0.18,0.09,0.25,0.47,0.68,0.53,0.08,0.08,0.06,0.02,0.17,COMPLETE
282,282,26.19884904,38:30.5,39:14.4,0 days 00:00:43.928594,0.13,0.18,0.09,0.24,0.46,0.68,0.52,0.06,0.08,0.06,0.02,0.17,COMPLETE
283,283,25.75971301,39:14.4,39:58.7,0 days 00:00:44.304100,0.12,0.18,0.1,0.24,0.46,0.66,0.52,0.06,0.08,0.06,0.02,0.14,COMPLETE
284,284,26.34850922,39:58.7,40:29.4,0 days 00:00:30.654737,0.13,0.18,0.09,0.25,0.46,0.67,0.51,0.06,0.07,0.04,0.03,0.17,COMPLETE
285,285,25.86237643,40:29.4,41:00.7,0 days 00:00:31.318640,0.13,0.16,0.09,0.24,0.46,0.67,0.51,0.05,0.09,0.04,0.02,0.16,COMPLETE
286,286,25.87360788,41:00.7,41:54.2,0 days 00:00:53.462582,0.12,0.16,0.09,0.23,0.46,0.66,0.51,0.06,0.09,0.03,0.02,0.18,COMPLETE
287,287,26.00038385,41:54.2,42:50.5,0 days 00:00:56.274331,0.13,0.16,0.09,0.23,0.47,0.66,0.5,0.06,0.09,0.04,0.02,0.18,COMPLETE
288,288,26.12103929,42:50.5,43:35.8,0 days 00:00:45.326836,0.13,0.16,0.1,0.24,0.46,0.65,0.5,0.07,0.09,0.03,0.03,0.18,COMPLETE
289,289,26.30822265,43:35.8,44:24.7,0 days 00:00:48.947715,0.13,0.15,0.1,0.23,0.47,0.73,0.5,0.07,0.1,0.03,0.02,0.18,COMPLETE
290,290,26.2224904,44:24.7,45:10.5,0 days 00:00:45.783683,0.12,0.15,0.12,0.23,0.46,0.73,0.49,0.07,0.1,0.03,0.02,0.17,COMPLETE
291,291,25.82288788,45:10.5,46:05.2,0 days 00:00:54.709030,0.11,0.15,0.12,0.23,0.46,0.65,0.49,0.07,0.1,0.03,0.02,0.18,COMPLETE
292,292,26.27097515,46:05.2,46:53.4,0 days 00:00:48.168027,0.13,0.15,0.11,0.23,0.46,0.72,0.49,0.06,0.1,0.04,0.02,0.18,COMPLETE
293,293,26.6164206,46:53.4,47:58.7,0 days 00:01:05.259273,0.12,0.17,0.12,0.23,0.46,0.74,0.49,0.06,0.1,0.03,0.02,0.19,COMPLETE
294,294,31.00662624,47:58.7,48:39.1,0 days 00:00:40.390866,0.13,0.15,0.48,0.23,0.46,0.65,0.5,0.07,0.09,0.04,0.02,0.18,COMPLETE
295,295,26.14419669,48:39.1,50:01.6,0 days 00:01:22.589499,0.11,0.15,0.12,0.23,0.45,0.72,0.49,0.06,0.09,0.03,0.02,0.18,COMPLETE
296,296,26.02786294,50:01.6,51:31.4,0 days 00:01:29.706172,0.11,0.15,0.11,0.23,0.45,0.72,0.5,0.06,0.1,0.03,0.01,0.18,COMPLETE
